Metric,Y1,Y2,Y3,Y4,Y5
Base - Registered users,3000,12000,35000,70000,120000
Base - Active users (MAU),1200,5000,15000,30000,54000
Base - Professionals registered,300,1000,2500,4500,7000
Base - Paid professionals (avg),20,90,260,550,950
Base - Paid professionals (end of year),24,100,300,600,1050
Base - Property listings active,800,3000,8000,16000,28000
Base - Paid premium listings (per year),120,600,1800,4000,7500
Base - Leads,1500,8000,25000,55000,95000
Base - Charged leads,0,2000,8000,20000,38000
Base - Quote requests,400,2500,8000,18000,32000
Base - Projects,20,150,600,1500,3000
Base - Facilitated GMV (CVE),0,0,30000000,90000000,200000000
Base - Revenue subscriptions (CVE),960000,4320000,12480000,26400000,45600000
Base - Revenue premium listings (CVE),600000,3000000,9000000,20000000,37500000
Base - Revenue lead fees (CVE),0,600000,2800000,8000000,17100000
Base - Revenue verification (CVE),80000,440000,1200000,2500000,4680000
Base - Revenue transaction take rate (CVE),0,0,1800000,6300000,16000000
Base - Revenue government licences (CVE),0,1500000,5400000,10000000,17600000
Base - Revenue ancillary (CVE),100000,600000,2000000,5000000,11000000
Base - Total revenue (CVE),1740000,10460000,34680000,78200000,149480000
Base - Total revenue (EUR),15780,94862,314514,709199,1355644
Base - MRR end of year (CVE),96000,525000,1650000,3233000,5667000
Base - ARR end of year (CVE),1152000,6300000,19800000,38800000,68000000
Base - ARPU per active user (CVE),1450,2092,2312,2607,2768
Base - ARPPU per paid pro (CVE),48000,48000,48000,48000,48000
Base - Staff cost (CVE),8000000,14000000,24000000,38000000,55000000
Base - Marketing cost (CVE),1500000,4000000,8000000,14000000,20000000
Base - Technology cost (CVE),800000,1500000,2500000,3500000,5000000
Base - Customer service cost (CVE),400000,1200000,2500000,4500000,7000000
Base - Verification cost (CVE),300000,800000,1600000,2800000,4200000
Base - Legal cost (CVE),600000,800000,1200000,1800000,2500000
Base - Local operations cost (CVE),700000,1200000,2000000,3200000,4500000
Base - Hosting cost (CVE),400000,700000,1400000,2400000,3800000
Base - Payment providers cost (CVE),50000,300000,900000,2200000,4500000
Base - Total costs (CVE),12750000,24500000,44100000,72400000,106500000
Base - Total costs (EUR),115631,222192,399946,656600,965855
Base - COGS (CVE),1150000,3000000,6400000,11900000,19500000
Base - Gross profit (CVE),590000,7460000,28280000,66300000,129980000
Base - Gross margin (%),34,71,82,85,87
Base - EBITDA (CVE),-11010000,-14040000,-9420000,5800000,42980000
Base - EBITDA (EUR),-99851,-127330,-85430,52600,389788
Base - Cash burn (CVE),11010000,14040000,9420000,-5800000,-42980000
Base - Cash end of year (CVE),32990000,18950000,9530000,15330000,58310000
Base - New paid pros,24,76,200,300,450
Base - CAC per paid pro (CVE),25000,21053,16000,18667,17778
Base - LTV (CVE),47000,98000,118000,128000,139000
Base - LTV/CAC (x),1.9,4.7,7.4,6.9,7.8
Base - Payback (months),18,9,6,6,6
Base - Annual churn (%),35,35,33,32,30
Base - Gross revenue retention (%),72,74,75,76,77
Base - Net revenue retention (%),98,100,102,104,105
Base - Conversion paid/registered pros (%),8,10,12,13,15
Base - Take rate (%),0,0,6,7,8
Conservative - Registered users,2000,7000,18000,38000,65000
Conservative - Paid professionals (avg),12,50,140,300,520
Conservative - Total revenue (CVE),1000000,5500000,18000000,42000000,82000000
Conservative - Total costs (CVE),11500000,21000000,36000000,55000000,78000000
Conservative - EBITDA (CVE),-10500000,-15500000,-18000000,-13000000,4000000
Conservative - LTV/CAC (x),1.4,3.5,5.0,5.5,6.0
Growth - Registered users,5000,22000,60000,120000,210000
Growth - Paid professionals (avg),35,170,480,950,1650
Growth - Total revenue (CVE),2900000,19000000,62000000,135000000,255000000
Growth - Total costs (CVE),14500000,30000000,55000000,92000000,150000000
Growth - EBITDA (CVE),-11600000,-11000000,7000000,43000000,105000000
Growth - LTV/CAC (x),2.5,5.5,8.0,8.5,9.0
